N,P,K,temperature,humidity,ph,rainfall,label
71.94,37.09,30.37,26.14,50.86,7.15,63.45,sorghum
58.12,29.26,26.5,28.0,40.75,7.14,45.31,pearl_millet
61.19,27.67,20.66,29.26,39.29,6.86,43.93,pearl_millet
61.48,29.36,28.13,28.34,41.19,7.18,45.31,pearl_millet
60.78,32.25,24.79,28.94,40.33,7.0,46.36,pearl_millet
58.35,31.28,26.66,29.29,44.07,6.98,45.12,pearl_millet
57.99,29.48,23.44,29.28,43.27,7.24,45.1,pearl_millet
59.92,29.48,25.92,29.37,41.13,7.48,43.25,pearl_millet
63.52,29.52,23.42,30.4,44.84,7.38,43.34,pearl_millet
61.63,33.12,24.06,29.39,43.24,6.89,41.49,pearl_millet
58.89,30.57,27.87,28.79,41.59,7.0,49.37,pearl_millet
62.32,30.65,24.71,29.84,38.85,7.39,41.89,pearl_millet
51.45,31.55,25.33,30.03,44.89,7.0,43.27,pearl_millet
63.45,30.36,26.31,27.93,40.25,7.16,43.2,pearl_millet
54.78,29.61,25.74,29.52,39.93,7.31,47.24,pearl_millet
58.91,29.71,25.23,29.61,43.29,7.01,44.26,pearl_millet
56.64,29.89,25.55,28.74,45.07,7.22,48.12,pearl_millet
56.12,29.94,28.61,30.2,43.74,6.93,43.32,pearl_millet
63.48,31.09,24.91,28.87,42.71,7.08,45.7,pearl_millet
58.6,30.08,25.3,29.11,42.75,7.26,42.91,pearl_millet
61.04,31.1,26.58,28.85,43.08,6.88,50.36,pearl_millet
59.86,29.88,26.66,29.01,42.96,7.29,42.03,pearl_millet
61.43,30.12,26.78,28.05,42.35,7.2,45.77,pearl_millet
60.23,27.0,25.96,27.75,42.13,7.31,46.58,pearl_millet
56.15,31.37,23.29,30.39,41.92,7.24,46.03,pearl_millet
62.99,30.52,27.45,28.26,41.05,7.47,44.54,pearl_millet
54.64,32.53,28.21,23.47,58.33,6.27,79.33,finger_millet
55.12,33.33,31.48,24.79,60.25,6.14,77.86,finger_millet
54.6,28.81,28.59,23.86,61.73,6.61,83.33,finger_millet
57.65,32.6,28.29,23.4,59.75,6.65,78.06,finger_millet
61.08,33.96,27.54,24.43,63.12,6.38,85.84,finger_millet
53.47,30.06,28.2,23.28,64.85,5.98,82.17,finger_millet
51.23,34.68,27.77,24.02,64.27,6.39,78.44,finger_millet
54.76,32.67,29.06,23.99,61.6,6.58,86.9,finger_millet
62.09,30.87,29.44,24.87,64.77,6.2,78.06,finger_millet
52.79,31.91,26.82,24.38,62.28,6.54,82.37,finger_millet
59.51,32.89,26.0,23.98,61.37,6.5,80.96,finger_millet
59.61,32.12,25.25,24.65,60.86,6.62,84.17,finger_millet
53.48,32.86,28.76,25.11,61.44,6.52,85.0,finger_millet
56.56,30.53,26.34,24.45,61.28,6.31,80.1,finger_millet
59.48,32.27,24.77,24.01,62.32,6.74,77.59,finger_millet
53.96,29.74,28.58,22.95,62.3,6.47,81.47,finger_millet
54.44,31.82,31.74,23.15,62.01,6.49,77.83,finger_millet
53.4,30.55,27.99,23.76,62.81,6.31,86.44,finger_millet
52.21,30.82,29.26,23.51,64.21,6.41,80.44,finger_millet
53.21,33.98,28.12,23.85,63.77,6.32,78.83,finger_millet
51.63,33.75,27.85,24.05,59.24,6.47,80.59,finger_millet
55.09,32.97,29.38,24.42,57.25,6.84,75.69,finger_millet
52.88,30.25,27.56,23.94,63.74,6.23,76.89,finger_millet
55.64,31.49,28.4,24.39,59.46,6.18,83.84,finger_millet
50.72,33.94,28.48,24.05,61.58,6.79,77.9,finger_millet
47.38,25.05,25.46,25.52,53.21,6.92,54.75,foxtail_millet
51.34,31.08,27.55,24.9,51.14,7.08,54.49,foxtail_millet
52.96,26.35,25.36,25.34,50.72,7.01,52.81,foxtail_millet
51.8,27.67,28.9,24.29,51.99,6.6,52.93,foxtail_millet
52.49,27.58,25.85,24.65,51.73,6.48,54.43,foxtail_millet
48.11,28.46,22.36,25.58,51.29,6.73,55.92,foxtail_millet
46.45,29.22,26.13,24.7,53.09,6.35,57.28,foxtail_millet
53.75,29.29,25.57,26.38,53.49,6.76,52.99,foxtail_millet
49.19,27.13,26.93,24.68,52.14,6.67,58.73,foxtail_millet
49.37,27.75,26.01,25.18,54.3,6.61,54.32,foxtail_millet
53.32,28.42,24.79,25.75,50.22,6.38,54.95,foxtail_millet
51.39,27.63,23.16,23.87,51.7,6.8,53.13,foxtail_millet
51.14,30.41,24.69,23.59,50.88,6.59,48.94,foxtail_millet
55.41,28.74,23.72,23.78,49.09,6.47,57.21,foxtail_millet
48.39,29.1,24.13,26.01,51.87,6.13,56.84,foxtail_millet
52.32,28.99,25.88,24.56,51.81,6.69,54.3,foxtail_millet
50.14,29.76,27.5,27.05,54.36,7.05,55.17,foxtail_millet
50.67,28.27,25.59,24.55,52.98,7.03,56.29,foxtail_millet
53.82,26.05,23.21,25.15,50.4,6.61,51.09,foxtail_millet
51.27,28.6,25.67,26.23,54.89,6.58,53.68,foxtail_millet
51.35,27.02,26.79,26.6,53.9,6.79,56.99,foxtail_millet
52.68,27.21,24.09,26.65,52.91,6.5,51.86,foxtail_millet
49.09,28.88,24.8,25.97,51.65,6.76,55.73,foxtail_millet
47.9,29.86,25.02,25.82,50.5,6.85,51.61,foxtail_millet
47.39,28.03,23.82,25.47,51.42,6.95,56.17,foxtail_millet
44.92,34.68,31.62,18.46,67.34,5.87,93.91,buckwheat
41.37,37.41,29.33,18.26,70.48,5.9,88.07,buckwheat
47.62,33.87,31.92,18.16,71.1,5.93,92.91,buckwheat
43.35,33.6,30.1,17.72,70.04,6.02,91.32,buckwheat
43.18,34.16,31.28,18.27,67.12,5.88,96.62,buckwheat
45.45,33.33,30.73,17.76,68.82,5.75,89.2,buckwheat
47.58,35.21,28.73,18.13,67.95,5.93,88.74,buckwheat
42.71,37.84,29.03,19.05,66.16,6.18,89.93,buckwheat
45.14,35.57,31.54,17.19,68.66,5.77,88.91,buckwheat
45.96,34.56,29.5,18.91,65.59,5.61,92.88,buckwheat
46.56,34.49,29.39,19.05,70.42,6.02,84.18,buckwheat
45.4,32.26,28.57,17.91,67.05,5.78,86.21,buckwheat
44.17,36.55,30.64,16.3,68.41,5.37,86.16,buckwheat
43.14,34.86,33.09,17.51,68.58,5.97,93.42,buckwheat
45.19,34.68,28.4,19.04,67.47,5.69,96.16,buckwheat
42.59,40.59,30.04,17.98,69.2,5.78,89.62,buckwheat
38.43,35.52,32.12,17.2,67.03,5.87,89.39,buckwheat
45.98,33.68,29.88,17.6,69.78,5.84,90.25,buckwheat
47.03,34.25,30.68,18.67,65.25,5.94,94.18,buckwheat
39.68,37.01,28.41,18.44,68.26,5.71,86.66,buckwheat
42.73,35.2,30.64,17.81,71.96,5.9,90.86,buckwheat
46.39,32.48,29.72,17.71,65.96,5.75,93.51,buckwheat
49.63,36.61,31.48,17.69,66.62,5.95,91.8,buckwheat
45.05,33.83,31.78,17.26,69.05,5.92,90.68,buckwheat
43.36,38.28,33.88,19.29,68.37,5.61,93.6,buckwheat
43.24,37.36,38.33,17.35,47.07,7.08,51.74,quinoa
51.69,38.78,34.89,16.13,50.56,6.69,49.17,quinoa
48.36,39.93,33.76,18.13,46.28,6.76,52.93,quinoa
45.42,39.14,32.35,16.92,49.32,6.46,50.92,quinoa
51.28,38.62,31.84,17.02,49.44,6.64,49.73,quinoa
53.43,37.19,32.23,17.57,47.03,6.99,51.12,quinoa
49.66,39.83,35.47,17.19,50.01,7.12,46.07,quinoa
52.38,36.99,35.89,17.76,47.64,6.55,47.18,quinoa
54.03,41.52,32.23,17.23,48.42,6.68,47.02,quinoa
53.29,40.16,36.57,16.51,48.37,6.79,50.36,quinoa
54.1,37.08,34.15,17.29,47.81,6.86,54.33,quinoa
51.86,39.38,35.26,16.09,49.17,6.64,55.58,quinoa
50.19,38.5,37.82,17.09,49.14,6.88,51.6,quinoa
46.0,40.64,36.57,16.97,45.48,6.71,51.25,quinoa
49.38,42.68,34.53,16.83,49.88,6.8,45.5,quinoa
47.89,36.25,33.44,16.9,45.61,6.91,48.64,quinoa
55.43,40.23,31.23,15.49,49.49,6.8,48.03,quinoa
49.56,39.68,33.74,16.56,49.62,6.71,48.45,quinoa
50.31,41.34,34.63,17.07,46.43,6.78,49.58,quinoa
51.38,40.43,33.27,17.13,47.41,6.78,48.82,quinoa
50.11,38.5,34.77,16.18,46.41,6.73,45.05,quinoa
54.24,39.36,35.13,18.01,47.69,6.75,51.87,quinoa
48.44,38.41,34.61,16.31,47.56,7.12,47.32,quinoa
50.49,42.15,33.86,17.78,49.12,6.91,50.6,quinoa
48.14,40.04,35.3,17.34,49.89,6.74,55.19,quinoa
57.24,31.9,29.42,14.46,58.32,6.37,59.21,rye
52.41,37.21,31.69,14.88,61.13,6.03,61.54,rye
59.14,33.41,31.42,14.37,60.16,6.07,63.01,rye
63.3,33.86,28.84,14.75,58.36,6.14,59.65,rye
65.88,33.96,30.61,13.49,57.14,5.93,58.87,rye
56.31,37.41,28.54,15.17,59.4,6.04,60.0,rye
61.49,31.26,27.93,15.0,56.31,6.1,61.5,rye
58.6,40.49,29.06,14.35,58.83,6.37,56.39,rye
59.68,36.85,31.29,15.53,58.88,6.25,54.26,rye
67.93,35.39,31.43,15.75,59.84,6.24,58.62,rye
55.49,34.9,30.77,13.71,62.8,6.37,56.95,rye
60.76,35.5,31.09,14.39,58.68,6.17,58.73,rye
61.4,35.91,30.77,14.38,57.11,6.28,59.63,rye
63.26,36.13,29.04,14.25,57.96,6.18,58.87,rye
60.29,35.97,30.65,15.66,54.92,6.25,63.63,rye
60.92,35.16,31.2,14.84,56.79,6.08,60.82,rye
58.83,34.65,31.13,14.79,57.29,5.71,60.75,rye
60.81,34.74,31.78,13.4,57.09,6.17,61.56,rye
58.97,34.66,31.06,15.51,58.27,6.48,57.15,rye
61.86,36.98,30.53,14.01,56.57,6.39,62.6,rye
58.89,36.04,31.61,15.05,59.95,6.39,59.81,rye
61.13,29.85,29.96,15.22,58.0,6.45,61.68,rye
59.91,36.15,28.68,16.09,57.98,6.22,57.32,rye
63.38,35.34,29.76,13.95,57.43,6.24,56.12,rye
59.85,34.97,28.88,12.58,58.27,6.08,62.04,rye
40.75,69.86,79.3,20.57,19.07,7.56,79.59,chickpea
38.2,63.99,86.65,17.61,16.67,7.58,84.84,chickpea
38.26,71.79,80.08,19.05,17.76,7.18,75.36,chickpea
42.25,70.43,80.92,20.52,15.35,6.93,79.96,chickpea
37.62,70.44,74.96,18.91,15.75,7.5,75.99,chickpea
43.29,69.49,77.53,18.75,17.47,7.16,81.16,chickpea
38.2,68.07,78.5,18.61,18.68,7.46,82.84,chickpea
41.28,70.29,78.73,18.76,17.33,6.91,78.65,chickpea
39.34,70.01,85.13,20.0,16.52,7.48,71.67,chickpea
41.21,66.8,82.23,17.13,16.9,7.06,80.64,chickpea
38.91,66.05,75.55,20.13,15.4,7.45,81.4,chickpea
39.67,68.35,80.99,17.76,17.63,7.3,81.29,chickpea
40.08,73.27,81.99,18.69,17.96,7.11,83.95,chickpea
38.0,63.79,84.56,18.56,16.36,7.22,76.57,chickpea
41.48,63.01,86.32,19.37,16.34,7.44,82.18,chickpea
38.97,68.56,75.94,17.62,17.22,7.32,83.82,chickpea
39.54,68.17,76.76,19.27,16.38,7.42,74.31,chickpea
38.01,68.59,74.97,20.52,16.82,7.7,81.02,chickpea
34.88,68.83,79.06,17.81,19.42,6.99,78.39,chickpea
39.62,67.24,81.87,19.05,16.6,7.62,79.74,chickpea
44.83,73.07,83.95,18.37,16.47,7.32,81.11,chickpea
41.57,62.56,79.7,19.24,16.12,7.12,78.44,chickpea
39.96,65.18,78.72,18.92,17.79,7.03,77.84,chickpea
39.47,67.65,80.61,18.39,16.68,7.26,80.11,chickpea
40.04,62.41,76.66,19.29,16.12,7.48,76.52,chickpea
19.37,71.58,21.0,20.95,23.34,5.56,108.18,kidneybeans
22.02,64.61,18.36,20.59,21.17,5.74,108.43,kidneybeans
19.28,66.69,19.42,20.65,20.01,5.59,105.74,kidneybeans
22.0,68.85,21.04,19.01,21.1,5.65,110.77,kidneybeans
21.69,74.79,21.27,21.07,21.91,6.03,104.58,kidneybeans
18.41,78.57,19.56,20.31,20.44,5.97,108.39,kidneybeans
19.98,70.06,19.89,19.8,20.45,5.44,101.68,kidneybeans
22.79,67.38,17.72,20.21,22.01,5.87,105.9,kidneybeans
19.53,69.82,19.46,18.68,21.54,5.86,105.26,kidneybeans
20.3,71.02,21.34,20.43,21.64,5.47,106.96,kidneybeans
21.69,66.91,20.86,19.28,20.69,5.86,104.43,kidneybeans
22.18,74.1,20.75,19.02,21.32,6.01,105.44,kidneybeans
20.62,68.78,20.07,18.88,20.49,5.48,109.5,kidneybeans
20.1,69.69,20.01,20.99,22.67,5.52,104.15,kidneybeans
23.13,70.26,19.01,19.6,22.84,5.9,99.19,kidneybeans
23.61,69.43,21.05,21.33,19.38,5.75,113.42,kidneybeans
22.47,70.85,20.63,19.67,20.48,5.81,111.86,kidneybeans
21.13,65.9,20.74,18.73,19.8,5.77,100.52,kidneybeans
19.79,66.1,19.21,19.21,20.82,5.78,108.92,kidneybeans
19.75,64.26,16.77,21.09,21.5,5.43,103.87,kidneybeans
21.78,69.49,21.65,19.98,19.86,5.91,107.12,kidneybeans
21.63,70.65,19.28,19.66,20.49,5.93,107.25,kidneybeans
23.1,69.56,18.71,20.23,20.4,5.65,105.01,kidneybeans
21.98,73.69,21.04,20.5,21.85,5.69,102.68,kidneybeans
18.75,67.98,19.41,20.99,21.68,5.39,103.07,kidneybeans
19.63,70.45,20.86,28.1,45.81,5.48,137.82,pigeonpeas
19.75,67.22,21.45,28.05,45.39,5.99,152.69,pigeonpeas
20.9,72.94,19.5,28.2,50.8,5.9,145.21,pigeonpeas
19.93,63.45,19.08,29.41,48.66,5.76,141.91,pigeonpeas
22.02,70.36,18.37,26.76,46.85,6.05,145.28,pigeonpeas
23.23,65.94,18.76,28.09,48.87,5.77,147.9,pigeonpeas
20.13,73.85,24.42,26.93,44.3,5.78,145.4,pigeonpeas
21.36,74.77,21.87,28.16,48.1,5.69,135.85,pigeonpeas
21.75,65.39,17.97,26.94,48.57,5.94,154.35,pigeonpeas
21.71,66.13,18.02,27.35,49.43,5.92,156.6,pigeonpeas
21.11,70.92,20.72,27.45,46.64,5.57,152.88,pigeonpeas
22.11,66.68,20.82,28.51,48.22,5.44,142.22,pigeonpeas
21.72,67.85,20.82,28.46,46.76,5.66,147.8,pigeonpeas
19.14,68.09,19.62,26.66,48.47,5.54,148.96,pigeonpeas
22.3,61.47,19.81,27.75,46.81,5.69,152.57,pigeonpeas
22.33,67.95,20.49,27.11,47.51,5.95,152.98,pigeonpeas
19.86,65.65,20.13,26.65,46.66,5.61,144.62,pigeonpeas
21.06,66.32,16.67,27.52,49.04,5.69,149.49,pigeonpeas
22.02,72.91,19.66,27.44,49.34,5.71,151.73,pigeonpeas
20.69,63.73,18.72,29.72,47.76,5.87,157.68,pigeonpeas
22.61,70.76,20.26,28.06,48.16,5.25,153.2,pigeonpeas
24.55,67.05,24.48,26.56,46.01,5.58,153.7,pigeonpeas
19.82,67.05,20.55,27.23,47.67,5.74,149.5,pigeonpeas
18.93,70.69,19.53,28.55,48.03,5.94,157.41,pigeonpeas
21.46,69.16,21.38,29.44,51.88,5.6,151.44,pigeonpeas
19.71,45.82,17.06,28.53,53.21,7.15,50.29,mothbeans
23.11,51.65,20.52,29.12,54.81,7.11,50.36,mothbeans
22.05,49.23,17.65,29.9,55.34,6.71,50.4,mothbeans
20.34,50.47,20.14,29.07,52.01,6.77,50.85,mothbeans
20.28,46.42,19.6,28.41,52.43,6.79,52.2,mothbeans
21.44,50.05,21.02,29.08,55.16,6.71,53.19,mothbeans
21.69,45.38,19.55,28.32,55.89,6.84,49.38,mothbeans
21.3,50.14,19.51,28.22,54.1,6.65,47.99,mothbeans
21.47,48.41,21.1,27.9,51.8,6.57,48.39,mothbeans
23.55,49.33,20.5,29.52,56.37,6.92,49.78,mothbeans
22.61,45.18,20.47,27.51,52.35,6.93,50.12,mothbeans
21.29,45.85,20.7,29.5,52.67,6.64,49.08,mothbeans
22.41,49.43,17.7,28.62,53.75,6.98,47.76,mothbeans
19.45,45.72,21.14,27.02,55.68,6.67,49.86,mothbeans
21.6,49.11,20.92,28.51,54.56,6.85,51.45,mothbeans
23.71,44.72,18.47,26.42,53.86,6.96,52.49,mothbeans
20.67,50.04,19.63,28.73,53.94,6.79,49.61,mothbeans
19.73,45.04,19.94,28.95,53.27,6.89,49.97,mothbeans
20.02,49.33,19.8,27.7,54.09,6.7,48.68,mothbeans
19.37,49.5,20.5,28.3,49.16,6.76,50.92,mothbeans
19.82,46.33,22.15,29.85,52.73,6.76,48.88,mothbeans
20.44,49.4,21.62,27.77,53.59,6.65,52.43,mothbeans
18.89,48.63,18.03,27.3,51.36,6.76,46.54,mothbeans
21.02,46.71,20.93,29.45,53.82,6.49,50.1,mothbeans
22.35,45.58,21.99,29.86,52.87,6.7,51.75,mothbeans
21.28,51.0,19.18,27.72,85.38,6.75,51.01,mungbean
25.04,49.93,21.25,27.7,84.41,6.68,49.94,mungbean
21.52,46.85,18.34,27.93,84.04,6.74,49.17,mungbean
19.49,49.24,20.33,28.75,86.35,7.02,51.8,mungbean
20.86,46.14,21.83,28.34,81.61,6.9,45.63,mungbean
18.34,43.0,19.23,26.59,87.43,6.87,52.37,mungbean
20.88,44.83,18.92,26.69,84.43,6.61,50.33,mungbean
19.75,50.67,19.65,27.98,82.6,6.52,47.41,mungbean
22.37,46.36,21.77,28.89,84.35,6.89,50.84,mungbean
20.18,46.43,20.29,26.15,88.72,6.88,45.23,mungbean
20.82,46.3,19.2,28.07,84.13,6.99,45.94,mungbean
20.05,51.47,20.73,28.05,86.42,6.58,46.48,mungbean
23.61,50.82,18.35,29.69,83.63,6.65,46.68,mungbean
20.52,52.21,21.02,28.17,87.44,6.37,45.36,mungbean
23.75,46.63,20.61,28.83,87.26,6.62,51.06,mungbean
22.22,47.69,19.54,28.62,90.24,6.9,47.35,mungbean
21.72,43.44,18.74,26.68,85.05,6.61,48.88,mungbean
21.55,50.47,18.67,29.16,87.22,6.83,46.57,mungbean
21.59,44.26,20.8,28.68,85.75,6.66,43.45,mungbean
18.11,47.51,21.84,28.93,88.82,6.76,48.68,mungbean
20.58,44.42,19.04,31.86,83.66,6.47,43.22,mungbean
